,id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
5,,,Lex domini irreprehensibilis,g00742,1,,,CH-P 18,,105,,,,feast_1468,genre_in,office_mi,http://cantus.uwaterloo.ca/source/638308,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,1---hg---gijhg--hg-gfg--gf---g--g--f--h--kkl--k--k---kH7--kL--k---k--lkh--kk---h--hfg--hgkjh--h--h---h--hk---h--fh-ijhfg--gf7---f--hg--h--gf--f---fgh--h---ghff--fe-ede--ed---4,,,,http://www.e-codices.unifr.ch/en/bcj/0018/105
12,,,Lex Domini irreprehensibilis convertens animas testimonium ,g00742,1?,,,P-Ln (Lisboa) Biblioteca Nacional de Portugal Iluminado 084,,061v,,,,feast_1468,genre_in,office_mi,http://pemdatabase.eu/source/52642,,,,,,,,,http://pemdatabase.eu/image/88269
30,,,Lex domini irreprehensibilis,g00742,1,,,PL-Wn rps 12722 V,,070r,,,,feast_1468,,,http://cantus.ispan.pl/source/4559,,,Lex domini irreprehensibilis convertens animas testimonium domini fidele sapientiam praestans parvulis,,,,,,http://cantus.ispan.pl/node/29067
32,,,Lex domini irreprehensibilis,g00742,1,,,PL-Wn Rps 12496 IV,,021r,,,,feast_1468,,,http://cantus.ispan.pl/source/33686,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://cantus.ispan.pl/node/34044
33,,,Lex domini irreprehensibilis,g00742,1,,,PL-WRu I F 414,,024r,,,,feast_1468,,,http://cantus.ispan.pl/source/36027,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://cantus.ispan.pl/node/36196
35,,,Lex domini irreprehensibilis,g00742,1,,,PL-WRu I F 413,,033r,,,,feast_1468,,,http://cantus.ispan.pl/source/39360,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://cantus.ispan.pl/node/40068
36,,,Lex domini irreprehensibilis,g00742,1,,,PL-WRu I F 416,,040v,,,,feast_1468,,,http://cantus.ispan.pl/source/41816,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://cantus.ispan.pl/node/42333
47,,,Lex domini irreprehensibilis convertans animas testimonium ,g00742,,,,F-Pn : Ms Lat 12584,,152v,,,,feast_1468,genre_in,,http://musmed.eu/source/13399,,,Lex domini irreprehensibilis convertans animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8422977w/f308.item.zoom
48,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,F-Pn : Ms Lat 00780,,041r,,,,feast_1468,genre_in,,http://musmed.eu/source/12990,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6000736q/f89.image
49,,,Lex domini irreprehensibilis*,g00742,,,,F-Pn : Ms Lat 12584,,182r,,,,feast_0680,genre_in,,http://musmed.eu/source/13399,,,Lex domini irreprehensibilis*,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8422977w/f367.item.zoom
50,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,I-BGc : MA 239 (Gamma III.18),,046v,,,,feast_1468,genre_in,,http://musmed.eu/source/8805,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/100/mode/1up
51,,,Lex Domini*,g00742,,,,I-BGc : MA 239 (Gamma III.18),,102v,,,,feast_0680,genre_in,,http://musmed.eu/source/8805,,,Lex Domini*,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/212/mode/1up
52,,,Lex Domini inreprehensibilis converterens animas testimonium ,g00742,,,,CH-SGs : Cod 0340,,040,,,,feast_0339,genre_in,,http://musmed.eu/source/14274,,,"Lex Domini inreprehensibilis converterens animas testimonium Dei fidele sapientiam prestans parvulis.",,,,,,https://www.e-codices.unifr.ch/en/csg/0340/40/0/Sequence-487
53,,,Lex Domini irreprehensibilis convertens animas testimonium ,g00742,,,,I-BGc : MA 239 (Gamma III.18),,140r,,,,feast_1468,genre_in,,http://musmed.eu/source/8805,,,Lex Domini irreprehensibilis convertens animas testimonium Dei fidele sapientiam praestans parvulis,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/287/mode/1up
54,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,V-CVbav : Vat.lat.04770,,041v,,,,feast_1468,genre_in,,http://musmed.eu/source/29524,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://digi.vatlib.it/view/MSS_Vat.lat.4770/86
55,,,Lex domini inreprehensibilis convertens animas testimonium ,g00742,,,,GB-Lbl : Egerton 0857,,020v,,,,feast_1468,genre_in,,http://musmed.eu/source/29583,,,Lex domini inreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://manuscrits-france-angleterre.org/view3if/pl/ark:/81055/vdc_100056033061.0x000001/f47
56,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,CH-SGs : Cod 0340,,101,,,,feast_1476,genre_in,,http://musmed.eu/source/14274,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://www.e-codices.unifr.ch/en/csg/0340/101/0/Sequence-487
57,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,CH-SGs : Cod 0340,,101,,,,feast_1476,genre_in,,http://musmed.eu/source/14274,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://www.e-codices.unifr.ch/en/csg/0340/101/0/Sequence-487
58,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,V-CVbav : Vat.lat.05319,,053r,,,,feast_1468,genre_in,,http://musmed.eu/source/14915,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://digi.vatlib.it/view/MSS_Vat.lat.5319/113
59,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,D-B : Ms mus 40078,,067r,,,,feast_1468,genre_in,,http://musmed.eu/source/8817,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404677&PHYSID=PHYS_0137&DMDID=DMDLOG_0001
60,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,1,,,F-Pn : NAL 01414,,027r,,,,feast_1468,genre_in,,http://musmed.eu/source/28426,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f59.image
64,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,F-Pn : Ms Lat 18010,,013r,,,,feast_1468,genre_in,,http://musmed.eu/source/13514,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b84262769/f29.image
65,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,F-G : Ms 0084 (Ms. 395 Rés.),,112r,,,,feast_1468,genre_in,,http://musmed.eu/source/10075,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://pagella.bm-grenoble.fr/img-viewer/Ms/Ms0395/viewer.html?base=BMG&np=B381856103_Ms0395A01.jpg&ns=B381856103_Ms0395B112r.jpg
68,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,F-Pn : Ms Lat 09436,,32r,,,,feast_1468,genre_in,,http://musmed.eu/source/15586,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b105511278/f67.image
70,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,I-BGc : MA 150 (Psi III.8),,030v,,,,feast_1468,genre_in,,http://musmed.eu/source/41838,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3862#page/66/mode/1up
72,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,1,,,F-Pn : Ms Lat 00903,,046r,,,,feast_1468,genre_in,,http://musmed.eu/source/13022,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b10506538t/f109.imagehttps://gallica.bnf.fr/ark:/12148/btv1b10506538t/f109.image
73,,,Lex domini irreprehensibilis convertens animas testimonium ,g00742,,,,D-KNd : Ms 1001b,,068v,,,,feast_1468,genre_in,,http://musmed.eu/source/11493,,,Lex domini irreprehensibilis convertens animas testimonium dei fidele sapientiam praestans parvulis,,,,,,http://www.ceec.uni-koeln.de/ceec-cgi/kleioc/0010/exec/pagemed/%22kn28-1001b_136.jpg%22/segment/%22body%22
